Medicine Name,Generic Name,Brand,Category,Dosage,Description,Unit Price,Stock Quantity,Reorder Level,Prescription Required,Contraindications,Drug Interactions,Side Effects,Max Daily Dosage,Manufacturer,Is Active,Image URL
Paracip,Paracetamol,Paracetamol 500mg,painkiller,500mg,Fever and mild pain relief - generic,8,600,120,No,Liver disease|Alcohol use,Warfarin,Nausea|Allergic reaction,4000mg,Cipla,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/506aeb350075460d9c40a1293e1607bc.jpg"
Crocin,Paracetamol,Paracetamol 500mg,painkiller,500mg,Fever and mild pain relief,15,500,100,No,Liver disease|Alcohol use,Warfarin,Nausea|Allergic reaction,4000mg,GSK,Yes,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/d1b5d11ee8ba4b68a6a5c6f1c872dbfc.jpg"
Panadol,Paracetamol,Paracetamol 500mg,painkiller,500mg,Fever and mild pain relief - premium,22,300,60,No,Liver disease|Alcohol use,Warfarin,Nausea|Allergic reaction,4000mg,GSK,Yes,https://5.imimg.com/data5/SELLER/Default/2023/6/318634261/GR/RQ/MB/128145676/panadol-paracetamol-tablets.jpg
Pacimol 650,Paracetamol,Paracetamol 650mg,painkiller,650mg,Fever and mild pain relief - premium,27.5,150,50,No,Liver disease|Alcohol use,Warfarin,Nausea|Rash,4000mg,Ipca,,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/yvcsl6mcrektaznzfq3m.jpg"
Calpol 650,Paracetamol,Paracetamol 650mg,painkiller,650mg,Fever and moderate pain - generic,14,400,80,No,Liver disease|Alcohol use,Warfarin,Nausea|Rash,4000mg,GSK,Yes,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/wifp2vvwa08pvwgv2iex.jpg"
Dolo 650,Paracetamol,Paracetamol 650mg,painkiller,650mg,Fever and moderate pain,20,400,80,No,Liver disease|Alcohol use,Warfarin,Nausea|Rash,4000mg,Micro Labs,Yes,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/mu5bahqxfrp28cut6que.jpg"
Ibugesic,Ibuprofen,Ibuprofen 400mg,painkiller,400mg,Pain and inflammation - generic,16,350,70,No,Peptic ulcer|Kidney disease,Aspirin|Warfarin,GI upset|Dizziness,1200mg,Cipla,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/ir50gcddanicxs6fjelq.jpg"
Brufen,Ibuprofen,Ibuprofen 400mg,painkiller,400mg,Pain fever and inflammation,25,350,70,No,Peptic ulcer|Kidney disease,Aspirin|Warfarin,GI upset|Dizziness,1200mg,Abbott,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/5ba5701fcb6c46628c5cff317109886b.jpgs"
Nurofen,Ibuprofen,Ibuprofen 400mg,painkiller,400mg,Pain fever and inflammation - premium,45,200,40,No,Peptic ulcer|Kidney disease,Aspirin|Warfarin,GI upset|Dizziness,1200mg,Reckitt,Yes,"https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
Diclogesic,Diclofenac,Diclofenac 50mg,painkiller,50mg,Arthritis and moderate pain - generic,18,300,60,Yes,Heart disease|GI bleeding,Lithium|Methotrexate,GI pain|Headache,150mg,Cipla,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/cropped/lkhmxysmu4nkw3xjhect.jpg"
Voveran,Diclofenac,Diclofenac 50mg,painkiller,50mg,Arthritis and moderate pain,30,300,60,Yes,Heart disease|GI bleeding,Lithium|Methotrexate,GI pain|Headache,150mg,Novartis,Yes,"https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/cropped/s9ycpnw9hw9cibuyyaoa.jpg"
Loprin,Aspirin,Aspirin 75mg,painkiller,75mg,Blood clot prevention - generic,7,60,120,Yes,Bleeding disorders|Peptic ulcer,Warfarin|Ibuprofen,GI bleeding|Rash,325mg,Searle,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/cvntyxp7wisahbhphxua.jpg"
Ecosprin,Aspirin,Aspirin 75mg,painkiller,75mg,Blood clot prevention,10,600,120,Yes,Bleeding disorders|Peptic ulcer,Warfarin|Ibuprofen,GI bleeding|Rash,325mg,USV,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/cropped/reowbvajejs6awykdplk.jpg"
Tramazac,Tramadol,Tramadol 50mg,painkiller,50mg,Moderate to severe pain - generic,30,200,50,Yes,Seizures|MAO inhibitor use,Antidepressants|Alcohol,Dizziness|Constipation,400mg,Zydus,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/cropped/iako5ay4tvfebas4qssd.jpg"
Ultracet,Tramadol,Tramadol 50mg,painkiller,50mg,Moderate to severe pain,45,200,50,Yes,Seizures|MAO inhibitor use,Antidepressants|Alcohol,Dizziness|Constipation,400mg,Janssen,Yes,"https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/cropped/eoreganmppqhojqzxb1i.jpg"
Nise,Nimesulide,Nimesulide 100mg,painkiller,100mg,Pain and fever - generic,12,320,65,No,Liver disease|Children under 12,Warfarin|Antidiabetics,GI upset|Headache,200mg,Dr Reddy's,Yes,"https://onemg.gumlet.io/l_watermark_346,w_380,h_380/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/cropped/f1gfqqe1onciyxepyxsc.jpg"
